node_id,prompt,interaction_count
94000100,"Food Node 94000100: The food description is: Water, tap. This food belongs to the category: Tap water. The ingredients in this food are: Beverages, water, tap, drinking.",16229
94100100,"Food Node 94100100: The food description is: Water, bottled, plain. This food belongs to the category: Bottled water. The ingredients in this food are: Water, bottled, generic.",12131
92101000,"Food Node 92101000: The food description is: Coffee, brewed. This food belongs to the category: Coffee. The ingredients in this food are: Beverages, coffee, brewed, prepared with tap water.",8793
91101010,"Food Node 91101010: The food description is: Sugar, white, granulated or lump. This food belongs to the category: Sugars and honey. The ingredients in this food are: Sugars, granulated.",5677
75113000,"Food Node 75113000: The food description is: Lettuce, raw. This food belongs to the category: Lettuce and lettuce salads. The ingredients in this food are: Lettuce, green leaf, raw, Lettuce, iceberg (includes crisphead types), raw.",4687
74101000,"Food Node 74101000: The food description is: Tomatoes, raw. This food belongs to the category: Tomatoes. The ingredients in this food are: Tomatoes, red, ripe, raw, year round average, Tomatoes, grape, raw, Tomato, roma.",4432
11112110,"Food Node 11112110: The food description is: Milk, reduced fat (2%). This food belongs to the category: Milk, reduced fat. The ingredients in this food are: Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D.",3746
92410310,"Food Node 92410310: The food description is: Soft drink, cola. This food belongs to the category: Soft drinks. The ingredients in this food are: Beverages, carbonated, cola, regular.",3653
63107010,"Food Node 63107010: The food description is: Banana, raw. This food belongs to the category: Bananas. The ingredients in this food are: Bananas, ripe and slightly ripe, raw, Bananas, overripe, raw.",3007
83107000,"Food Node 83107000: The food description is: Mayonnaise, regular. This food belongs to the category: Mayonnaise. The ingredients in this food are: Salad dressing, mayonnaise, regular.",2728
74401010,"Food Node 74401010: The food description is: Ketchup. This food belongs to the category: Tomato-based condiments. The ingredients in this food are: Ketchup, restaurant, Catsup.",2493
51101000,"Food Node 51101000: The food description is: Bread, white. This food belongs to the category: Yeast breads. The ingredients in this food are: Bread, white, commercially prepared.",2481
92410320,"Food Node 92410320: The food description is: Soft drink, cola, diet. This food belongs to the category: Diet soft drinks. The ingredients in this food are: Beverages, carbonated, low calorie, cola or pepper-type, with aspartame, contains caffeine.",2431
11111000,"Food Node 11111000: The food description is: Milk, whole. This food belongs to the category: Milk, whole. The ingredients in this food are: Milk, whole, 3.25% milkfat, with added vitamin D.",2317
75506010,"Food Node 75506010: The food description is: Mustard. This food belongs to the category: Mustard and other condiments. The ingredients in this food are: Mustard, prepared, yellow.",2092
51150000,"Food Node 51150000: The food description is: Roll, white, soft. This food belongs to the category: Rolls and buns. The ingredients in this food are: Rolls, hamburger or hotdog, plain.",2045
81101000,"Food Node 81101000: The food description is: Butter, stick. This food belongs to the category: Butter and animal fats. The ingredients in this food are: Butter, stick, salted.",1961
75117020,"Food Node 75117020: The food description is: Onions, raw. This food belongs to the category: Onions. The ingredients in this food are: Onions, yellow, raw, Onions, white, raw, Onions, red, raw, Onions, raw.",1948
12210400,"Food Node 12210400: The food description is: Coffee creamer, powder. This food belongs to the category: Cream and cream substitutes. The ingredients in this food are: Cream substitute, powdered.",1915
63101000,"Food Node 63101000: The food description is: Apple, raw. This food belongs to the category: Apples. The ingredients in this food are: Apples, granny smith, with skin, raw, Apples, gala, with skin, raw, Apples, fuji, with skin, raw, Apples, raw, with skin (Includes foods for USDA's Food Distribution Program), Apples, honeycrisp, with skin, raw, Apples, red delicious, with skin, raw.",1815
92302000,"Food Node 92302000: The food description is: Tea, hot, leaf, black. This food belongs to the category: Tea. The ingredients in this food are: Beverages, tea, black, brewed, prepared with tap water.",1791
71401030,"Food Node 71401030: The food description is: Potato, french fries, fast food. This food belongs to the category: French fries and other fried white potatoes. The ingredients in this food are: Fast foods, potato, french fried in vegetable oil.",1758
92410510,"Food Node 92410510: The food description is: Soft drink, fruit flavored, caffeine free. This food belongs to the category: Soft drinks. The ingredients in this food are: Beverages, carbonated, SPRITE, lemon-lime, without caffeine.",1730
51301010,"Food Node 51301010: The food description is: Bread, wheat or cracked wheat. This food belongs to the category: Yeast breads. The ingredients in this food are: Bread, wheat.",1639
11113000,"Food Node 11113000: The food description is: Milk, fat free (skim). This food belongs to the category: Milk, nonfat. The ingredients in this food are: Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim).",1633
